,Long,Short
2019-09-20,-0.004983817717165906,1.0
2019-09-23,0.00439593830106465,1.0
2019-09-24,-0.005784995256502401,1.0
2019-09-25,0.005586235067815737,1.0
2019-09-26,-0.0025258565648844213,1.0
2019-09-27,-0.003853216883918942,1.0
2019-09-30,-0.00036682282798690126,1.0
2019-10-01,-0.01859633051293038,1.0
2019-10-02,-0.009450159465078777,1.0
2019-10-03,-0.000636096282187093,1.0
2019-10-04,0.007118312620173317,1.0
2019-10-07,-0.002794454542861613,1.0
2019-10-08,-0.005561685808030892,1.0
2019-10-09,-0.0004168914024147985,1.0
2019-10-10,0.0039484431311598515,1.0
2019-10-11,0.0010337478311924664,1.0
2019-10-14,-0.0032822349709770273,1.0
2019-10-15,0.0037545538790857646,1.0
2019-10-16,0.003280580289066326,1.0
2019-10-17,-0.0027883363719152674,1.0
2019-10-18,0.002132637965707218,1.0
2019-10-21,-0.0029617995436179824,1.0
2019-10-22,-0.001890466959584114,1.0
2019-10-23,0.005394410949668504,1.0
2019-10-24,-0.002577144868574699,1.0
2019-10-25,0.008393197219188575,1.0
2019-10-28,0.0020557126956500917,1.0
2019-10-29,0.0015644679896916092,1.0
2019-10-30,0.002889456645351818,1.0
2019-10-31,-0.0035080553043937758,1.0
2019-11-01,-0.0034002600643034397,1.0
2019-11-04,-0.003032117385890287,1.0
2019-11-05,-0.002024534580078385,1.0
2019-11-06,0.0020084007172773586,1.0
2019-11-07,-0.0012641870447622661,1.0
2019-11-08,0.005904643404748988,1.0
2019-11-11,-0.0004600146002201377,1.0
2019-11-12,0.0009362386994508753,1.0
2019-11-13,0.0021715693901071644,1.0
2019-11-14,-1.073451174609108e-05,1.0
2019-11-15,0.002358617881294789,1.0
2019-11-18,0.0027405304564573018,1.0
2019-11-19,-0.0006629737649527234,1.0
2019-11-20,0.0020717698452821566,1.0
2019-11-21,-0.0023098273288102433,1.0
2019-11-22,-0.0027235456843006543,1.0
2019-11-25,0.006416139444535329,1.0
2019-11-26,0.0035473141619606465,1.0
2019-11-27,0.001801198524291081,1.0
2019-11-29,-0.0035707800501944553,1.0
2019-12-02,-0.008005829112036266,1.0
2019-12-03,-0.0008283787376602514,1.0
2019-12-04,0.005623582718121545,1.0
2019-12-05,-0.00038093457273860045,1.0
2019-12-06,0.00028788273820185006,1.0
2019-12-09,0.0009382575168083607,1.0
2019-12-10,-0.0026868517134371215,1.0
2019-12-11,-0.0019199490322095337,1.0
2019-12-12,0.005723152062526593,1.0
2019-12-13,0.004172884835429424,1.0
2019-12-16,-0.0021274940044674453,1.0
2019-12-17,0.0010321665784503887,1.0
2019-12-18,-0.004067837283848808,1.0
2019-12-19,0.0010798206631685292,1.0
2019-12-20,-0.0016908802975055814,1.0
2019-12-23,-0.002673967223951257,1.0
2019-12-24,0.0005576214188251716,1.0
2019-12-26,0.0010342931295402535,1.0
2019-12-27,-0.00041324827049084024,1.0
2019-12-30,-0.0014499686719318338,1.0
2019-12-31,0.002227120111086789,1.0
